year,value
1990,0.28525
1991,0.28525
1992,0.28525
1993,0.28525
1994,0.221
1995,0.221
1996,0.221
1997,0.28875
1998,0.22225
1999,0.22225
2000,0.22225
2001,0.22225
2002,0.22225
2003,0.22225
2004,0.289
2005,0.2005
2006,0.221
2007,0.2455
2008,0.2455
2009,0.2455
2010,0.38675
2011,0.822
2012,0.9465
2013,0.976
2014,0.90775
2015,0.82875
2016,0.797
2017,0.743
2018,0.72625
2019,0.70275
2020,0.62225
2021,0.5775
2022,0.554
2023,0.554
2024,0.554
2025,0.52625
