year,value
1980,134
1981,157
1982,126
1984,153
1985,132
1986,174
1987,138
1988,153
1989,162
1990,138
1991,148
1992,189
1993,169
1994,151
1995,170
1996,189
1997,203
1998,207
1999,276
2000,277
2001,337
2002,414
2003,489
2004,682
2005,928
2006,1072
2007,1810
2008,2221
2009,2555
2010,3180
2011,3885
2012,4434
2013,4392
2014,4766
2015,5352
2016,6230
2017,8175
2018,7156
2019,7871
2020,7920
2021,8234
